"annee";"mois";"titre";"prix";"nb_pieces";"surface";"secteur";"adresse"
"2015";"9";" Apprt ";"750000";"2";"110 m²";"autre_secteur";"hay wifak "
"2015";"9";" Appartement 64 m2 à Rabat Yacoub El Mansour ";"550000";"3";"64 m²";"yacoub_el_mansour";"macherou3e alkora cym rabat "
"2015";"9";" Appartement 115 m2 Vue sur mer ANNONCE DE PROFESSIONNEL ";"1500000";"2";"115 m²";"autre_secteur";"- "
"2015";"9";" Appartement 107 m2 à Rabat Quartier de l'Océan ";"1177000";"3";"107 m²";"quartier_de_l_ocean";"4 Imm"
"2015";"9";" شقة بديور الجامع للبيع حي لاسيكون ";"890000";"3";"66 m²";"diour_jamaa";"rue farahat hachad diour jamae "
"2015";"9";" Appartement 124 m2 à Rabat Agdal ";"2200000";"4";"124 m²";"agdal";"quartier agdal "
"2015";"9";" Appartement à Rabat Agdal ANNONCE DE PROFESSIONNEL ";"2100000";"3";"113 m²";"agdal";"agdal "
"2015";"9";" Appartement 100 m2 ds association à Témara ";"695000";"4";"100 m²";"autre_secteur";"Temara Av Triq Ibn Zyad Al Fouarate "
"2015";"9";" Appartement 96 m2 à Rabat Agdal ANNONCE DE PROFESSIONNEL ";"1500000";"3";"96 m²";"agdal";"bas d''agdal "
"2015";"9";" Appartement 111 m2 à Bassatine El Menzeh ";"1420000";"4";"111 m²";"autre_secteur";"Bassatine El Menzeh km18 Route de Zaer "
"2015";"9";" Appartement 170 m2 à Rabat Hay Riad ";"3600000";"4";"170 m²";"hay_riad";"- "
"2015";"9";" Appartement 50 m2 à TAMSNA ";"270000";"6";"50 m²";"autre_secteur";"residence annour "
"2015";"9";" Bel appartement 135 m2 à coté de toutes commodités ";"1690000";"5";"135 m²";"quartier_de_l_ocean";"- "
"2015";"9";" Appartement 300 m2 à Rabat Médina de Rabat ";"2700000";"6";"300 m²";"medina_de_rabat";"Centre ville "
"2015";"9";" Appartement 122 m2 à Rabat Quartier de l'Océan ";"1100000";"3";"122 m²";"quartier_de_l_ocean";"Rue jakarta en Face de l''école des langues des FAR "
"2015";"9";" Appartement 110 m2 à Rabat Diour Jamaa ANNONCE DE PROFESSIONNEL ";"164000000";"3";"110 m²";"diour_jamaa";"Appartement 110 m2 à Rabat Diour Jamaa "
"2015";"9";" Appartement 104 m2 à Rabat Agdal ANNONCE DE PROFESSIONNEL ";"145000000";"3";"104 m²";"agdal";"Appartement 104 m2 à Rabat Agdal "
"2015";"9";" Appartement 94 m2 à Rabat Diour Jamaa ";"1100000";"2";"94 m²";"diour_jamaa";"diour jamaa rue siam residence younes "
"2015";"9";" Appartement 64 m2 à Rabat ";"600000";"3";"64 m²";"autre_secteur";"temara centre "
"2015";"9";" Appartement 60 m2 ANNONCE DE PROFESSIONNEL ";"250000";"3";"60 m²";"agdal";"- "
"2015";"9";" Appartement 64 m2 à temara ";"550000";"3";"64 m²";"autre_secteur";"Temara el wifaq "
"2015";"9";" Appartement 72m2 Hay Nahda Fadesa ANNONCE DE PROFESSIONNEL ";"610000";"4";"72 m²";"hay_nahda";"Hay Nahda Fadesa "
"2015";"9";" Appartement 117m2 Guich oudayas Hay Riad ANNONCE DE PROFESSIONNEL ";"980000";"5";"117 m²";"autre_secteur";"Guich oudayas 01 minutes de hay riad "
"2015";"9";" Appartement 70m2 Guich oudays Hay Riad ";"820000";"3";"70 m²";"autre_secteur";"Guich oudayas 01 minutes de hay riad "
"2015";"9";" Appartement à hassan médina ";"1460000";"5";"121 m²";"hassan";"2 Rue nador"
"2015";"9";" Appartement 258 m2 à Rabat Agdal ANNONCE DE PROFESSIONNEL ";"4500000";"5";"258 m²";"agdal";"au haut d''agdal "
"2015";"9";" Appartement 57 m2 à Rabat Hassan ";"700000";"2";"57 m²";"hassan";"lot almouahidine hassan "
